src_ip protocol fwd_pkt_len_var
16777343 17 93553.2585
16777343 17 93274.1407
16777343 17 92996.6501
16777343 17 92720.7731
16777343 17 92446.4959
16777343 17 92173.8050
16777343 17 91902.6871
16777343 17 91633.1289
16777343 17 91365.1174
16777343 17 91098.6397
16777343 17 90833.6829
16777343 17 90570.2343
16777343 17 90308.2815
16777343 17 90047.8121
16777343 17 89788.8138
16777343 17 89531.2744
16777343 17 89275.1820
16777343 17 89020.5247
16777343 17 88767.2908
16777343 17 88515.4685
16777343 17 88265.0465
16777343 17 88016.0133
16777343 17 87768.3577
16777343 17 87522.0686
16777343 17 87277.1348
16777343 17 87033.5455
16777343 17 86791.2898
16777343 17 86550.3572
16777343 17 86310.7370
16777343 17 86072.4187
16777343 17 85835.3920
16777343 17 85599.6467
16777343 17 85365.1725
16777343 17 85131.9595
16777343 17 84899.9976
16777343 17 84669.2771
16777343 17 84439.7882
16777343 17 84211.5213
16777343 17 83984.4668
16777343 17 83758.6152
16777343 17 83533.9573
16777343 17 83310.4838
16777343 17 83088.1854
16777343 17 82867.0532
16777343 17 82647.0781
16777343 17 82428.2512
16777343 17 82210.5638
16777343 17 81994.0071
16777343 17 81778.5726
16777343 17 81564.2515
16777343 17 81351.0356
16777343 17 81138.9164
16777343 17 80927.8856
16777343 17 80717.9350
16777343 17 80509.0565
16777343 17 80301.2420
16777343 17 80094.4836
16777343 17 79888.7733
16777343 17 79684.1034
16777343 17 79480.4661
16777343 17 79277.8537
16777343 17 79076.2586
16777343 17 78875.6733
16777343 17 78676.0904
16777343 17 78477.5025
16777343 17 78279.9022
16777343 17 78083.2824
16777343 17 77887.6359
16777343 17 77692.9556
16777343 17 77499.2344
16777343 17 77306.4653
16777343 17 77114.6416
16777343 17 76923.7563
16777343 17 76733.8027
16777343 17 76544.7741
